block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0xe4efe596006b325d6ed483f9e1efa36ff6c3ff0d8cc71d3e29e4b11ea9a95e,0x590155105860625c4b7f0f794e173b72d172adfdec1a60d1f31d9fabb52463a,Unknown,0x175f5b8fdc8,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x1501e5f1ae06588c0411add61c5944be6769feb0ed00161194fa6a62d9945bf,0x3fae44b9dd6fc698175d92a85024240b8b66ae211389ba4804c251e93d7cee0,Unknown,0x89cf3b43474,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x3f5e36178ce729970d0835a264cc7c84b9c0af7f8d15001464fea30faa210b6,0x19252b1deef483477c4d30cfcc3e5ed9c82fafea44669c182a45a01b4fdb97a,Unknown,0x3164139a98,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x2930988072a35219337f16d441a695ec8a346e7dd34b23d1035732890cd5812,0x4e6989d518d5eb7e516dc5673f855fe7c5cfece1880a1047d6a8e8465be0d69,Unknown,0x3f80ab7d28,WEI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x680593185dc2984e3725ce8260004a079842a4a6c5a4a52327daf7783c08f79,0x1cbea1d2c90369fbfa7640cbf6131dd5d8af81fa41858ecfe1dc2bca03d8069,Unknown,0x1fe5ec2ae14ae2,FRI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x255862360754df0089ca07c0353c04e8fa9235102939589d2757b55ace3b669,0xf1f5b60854d1721b287aa2f7de8cefdef643541ad4f9c0e3560d36a9c1785,Unknown,0x23477bb7c8,WEI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x17c43ed704af4f62a9047d389952fbbdea5274ecc32b897ec496a010825a4d2,0x30d1a6061325132500b0c288e8e6deaeeb58ad7cb7b4c6e8239346959cb765d,Unknown,0x25cba7ff29ba1d6,FRI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x67606880f698817cdbe029d86cfebeb28b1115ed1ff4d3ee0060af05a64e457,0x792206cf0cd305a2c76c52e4ee6613785c1419bd53834ca53a45a3c7e6de7c,Unknown,0x2769d4baf5aea8,FRI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x6bd8dd1d1059861e44d59fa0a9d6e7ae4d0b3c34d949d5b556986482cd006f7,0x69a7818562b608ce8c5d0039e7f6d1c6ee55f36978f633b151858d85c022d2f,Unknown,0x2fa0809ebe,WEI
776253,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,1728129758,0x180d6bccaf8bd7436393093794ccaaf4fee1472a89a8a0f9f0935d36f1fa3ed,0x520c339caf2f84954c337d112ba67464ecddf940c08698c121d048fd76babf6,Unknown,0x2166b44792aa70,FRI
